@relation CommentsInstances

@attribute content string
@attribute class {1,0}

@data
'    fenestrate even tough mitt doesn t drink  i thought about mitt sat nite when i tried get into slippery noodle bar with blues musician buddy young playing  bar wanted   cover charge get in  i said f that went bar across street paid   cover had great time     ',1
'   then you don t understand basketball     ',1
'   go suck you daddys cock obama loving liberal faggot    ',0
'   yeah     fuck undying     ',1
'   bcircumstances under which abortion is legal in israel  bthe termination committee approves abortions  under subsection a    in the following circumstances the woman is younger than seventeen  the legal marriage age in israel  or older than forty the pregnancy was conceived under illegal circumstances  rape  statutory rape etc    an incestuous relationship  or outside of marriage the fetus may have a physical or mental birth defect continued pregnancy may put the woman s life in risk  or damage her physically or mentally http   en wikipedia org wiki abortion in israel    ',1
'   koolnightie you  just like your bedmate proud marxist shill  are a deluded and brainwashed   useful idiot   of the marxists who are doing their damnedest to bring down our society to socialism there is no hope for you and your ilk   i feel sorry for you when your dear leader  comrade  bama is voted out of office i expect that you will selfdestruct  just like all of your marxist heroes of the past     ',1
'   i live with my dad asshole    i anal fuked the shit out of you r mom and your sisters  and made them cry in the process     ',0
'   those plays are easy for crawford  it s the routine ones he has trouble with    ',1
'   you really think shes speaking spanish  you are a fool aren t you     ',0
'   hey race baiter take a hike you are a typical idiot    ',0
'   when obamabots blame everything else for their own failures  including bush  then the tsunami in japan  etc                   they don t realize that americanvoters hate blame and love real leadership   that is a losing strategy   maybe they should fire axelfraud     ',1
'   zimmerman and his wife look like brother and sister     ',1
'   is that you  yannick        give it a rest     ',1
'   nah   that d be your daughter    ',1
'   maybe next time you say it  you ll write   you re a moron     you re a cretin     ',0
'   you are a closet  flaming homo    ',0
'   go away you trashy  tramp    ',0
'   you and your ilk are the reason why paul will never be elected to any position except the one he currently has  sadly this will effect his son  s ratings     ',1
'   lol lame old woman  mother of yellow chicken hawks     ',1
'   wow you attack others and show your ignorance  you get exactly what you deserve  you are one those typle scum bag employees who don t pull their wait and hide behind the union  you make me sick     ',0
'   it s the old white men and women who saved our nation in world war  and many are still alive who will help save our nation again  this time from president obama and his administration when they vote in november     ',1
'   so perfect   love to suck you       ',1
'   if you mean awesome at killing jobs and reducing america to greece  then you are absolutely right     ',1
'   i d be quite happy to win this and try it out     ',1
'   and you can be silly too     ',1
'   i think i can encapsulate both your position and gordon s in one phrase     a recession of choice   there is the  common  idea that it is possible for a government to   create wealth   ad infinitum by printing money and spending it   and there is another idea that you grow rich through hard work and not through currency maniupulation my opinion is that people like yourself  and gordon  are dangerous because you are very keen on spending money and not so keen on earning it   when you run out of all the borrowed money you are spending you will need to start   redistibributing   all the earned value in society       ',1
'    sandyberman beached  whaaaaaaaaale     ',1
'   why not hire the most qualified and capable instead of discrimating based on race and gender     ',1
'   lol       ralph you are the guys who are still in moi era       ',1
'   brian  get out of the drug business  you are far too stupid to be in   the game     of all the countries in the world  you pick the one that is under the most scrutiny to buy illegal drugs from   where you planning on setting up shop in front of the police station as well     ',1
'    famousoriginallucas poor ian    ',1
'    nobjustryan  skywaker  david  yeah  streaming them out  my bad  thought you were asking sky about the jurisdiction piece    ',1
'   homeland security has a list of what constitutes a valid id   check with them     ',1
'   he s not spanking her  he s fingering her asshole   hard enough to lift her off the ground   man  i wish i worked with that dude     ',1
'   i think we need our skin removed to complete our perfect look says it all really in my eyes if someone else is paying for it then you will get what your given  thats what i got taught    ',1
'   i ll let you know when i start worrying about an invertebrate s opinion of me       ',1
'   read lincoln hawk posts please       ',1
'      being nosey    who should ve been interviewed     ',1
'   right now  we supposedly have a  party state with some  independents  in the middle    in reality  we have the socialconservative republicans  prolife  antigay  morals trump law     we have the fiscalconservative republicans  profreetrade  anticapital gains  fightwarsoutsideofusa  business needs trump individual needs because fulfilling business needs naturally leads to the fulfillment of individual needs     and then you ve got the teaparty     who generally have a million varieties of the former two depending which one you speak to    all three   subgroups   are very intent on government playing an aggressive role in our economy or our social lives    regardless of the talk  that s what they do all three groups are very intent on a refusal to compromise their particular ideology    they lead    to compromise is failure    it s topdown leadership  trickledowneconomics  trickledownregulation   finally  we ve got this weird group of ron paul supporters    people don t really realize it  but they are out supporting the rights and freedoms of the individual there are many common issues with the rightwing groups  but in reality  they don t fit there at all    if ron paul s people are scared into thinking that a republican loss will bring  years of obama and that s worse than death       they deserve the level of disdain that republican politicians treat them with   if they had a real set of balls  they d get together and walk into dnc headquarters and say    of the    issues out there  here are  issues that we both agree upon    make those happen and you can have our support    then i d   guarantee  the dns bosses would make that happen and probably get on their knees and give out bjs at the same time romney s probably going to get the nomination    obama s probably going to spank him    the  of ron paul voters who write him in rather than voting for romney will get  of the republicans blame for their loss  meaning they ll do absolutely nothing to change the rp group could  issue by issue  make change in this country    unfortunately  their ideology matches with the republicans in some ways  but it actually conflicts enormously in the process  of how it works    the rnc will never accept ron paul s ideology    ever    fire and water the dnc changes constantly and can easily be managed by any organized group as long as the primary focus is on the protection of the rights of the individual and support of   the little guy   there are sure to be a million republicans who are going to go on and on and on about how evil the democrats are  but how many democrats out there find ron paul a total loon  but actually agree with much of what he says     ',1
'   bluz i agree  love the way he can handle the bat    hope he stays healthy    ',1
'   killing them should be a last resort    i m gonna die    option going out into the woods to kill  em all because we see a couple in town is not right     ',1
'   and continuing on route  all the way to nuevo laredo    ',1
'   hug a tree faaaaaagggggggggggggg       folks like you make real men look like  well  real men    you are a little sissy girlyman who is  right now  twirling in his pretty little tutu  sending kisses to all the other little fairies out there    man up you little p ssy   just sayin  queer     ',0
'   bad as i dislike obama i wouldn t wish this puke on his kids    ',1
'   ha ha ha   back in your dirty russian hole  comrade troll     ',0
'    vojtass go to a movie and have it start halfway through  then smile complacently as the manager tells you you re lazy and  im patient because you didn t understand the full story     ',1
'   i thought james murphy introduced electronic music to the rock kids  he played it at cbgbs  everyone thought he was crazy     ',1
'   talk about a real cover up                      ',1
'   anyone that truly thinks the celtics can beat the heat needs to get their head checked     ',1
'   don t  lecture about abnoy s crusade hindi lahat ng tao naloloko ng abnormal na presidente mahiya ka naman     ',1
'   non ho detto questo  quindi non inventare cose anzi  ho detto che delle scie mi interessa poco e vanno verificate  quindi di che parliamo insunto  chi e  contro il nucleare  esperti o meno che siano  sono tutti scemi     ',1
'   i m also excited for nintendo s show  wii u and some ds love for me i might skip microsoft s  don t hate  i have a valid reason  because it will probably a big shooterkinectfest  unless they are introducing a new console or something else other than halo  cod or kinect games then i ll definitely going to stop  watch live streaming or read live blog  and be happy about it  i ve lost interest in the  announcements ever since ps picked up the pace and began having more jrpgs than   where you at mistwalker  oh right  over nintendo  hmm   well  live blog s not gonna hurt  going to follow ms s show then sony have an amazing lineup of exclusives and they re boosting up the vita so i m definitely excited for that as well e ftw       ',1
'   i broke my ankle in february so i ve been recovering from that as i need my left foot to shift   i charged the battery on my virago  cleaned it up  changed the oil and filter  but i ve only ridden around the block a few times so far   it s scary   i don t have a lot of hours riding so i try to be extra careful when i m out   i wear over the ankle shoes  i bought a full face helmet last year and wear as much protective gear as i can  but none of that will help if something hits me head on     ',1
'   don t be such an idiotic   rude  little bitch  it takes a hell of a lot of work to run this place  and now that they have taken a break  you are still giving them shit   stupid  like demi said  unappreciative ass     ',0
'    foxrock why would you throw something like porn out there in the middle of your argument  is really easy to judge that way  you are right i am just assuming  because ding ding you make it come across that way  as for the wife thing  i gave an example on how it helps people  you keep talking about yourself  hence why i think is you don t indulge as you put it     ',1
'   if it s wrong to be ageist  why do we have a  retirement age  for jobs     ',1
'   would probably be cheaper just to legally change your name     ',1
'   obammass care will be disolved by the sc     they will base the desicion on the constitution    but in reality behind closed doors their true reason will be to save small buisnesses from bankruptcy    ',1
'   i can argue my point  dont sit there and deny when you re program  coach  players have done something wrong and back it up bc nd did something a little more wrong nbsp divbr divdivif  men rob a person they re both guilty  doesnt matter who had the gun nbsp  divdivbr divdivyou dont ever admit to anything wrong doing of your program  coach  players and you justify it being ok bc nd or bk did it too  divdivbr divdivthats whats annoying the sheet out of me  you cant talk anything football with you bc you wont ever just stay on a usc topic  you fire back with   well nd did this and that    divdivbr divdivif we re going to talk about what nd or bk did wrong fine lets talk it  but dont change the subject or justify wrong doing when we re on the usc or kiffan subject  get it now  divdivbr divdivgo nd   nbsp  div    ',1
'      and with those shoes   miss brit needs to move into a more adult look   her gyno length is now predictable and down right boring     ',1
'   churning out more of the same old story with just different cars     typical american film people who dont know when to stop milking the cash cow       ',1
'   take your pills  the voices are obviously taking control again     ',0
'   harry rednapp is english and he denied it     ',1
'   r just can t stand the truth can you either that or you are truly enjoying your blissful ignorance     ',1
'   there is a certain contrasting quality between judgments within the world view of the proponents of the war on cannabis and christian theology  the   everything is toxic   philosophy embraced by the ondcp toxicologists and controlling offices such as the fda and dea is the exact opposite of sound christian theology      and the corollary truths built upon it are not biblically founded  and can be proven to be biblically incorrect  and if it s not theologically true  if it s not true in the bible  than it isn t true at all     no bible believing christian can accept any   toxicology   studies or reports from the ondcp in good conscience  when they consider the axioms that were used to build their studies  do christians adhere to   scientific   theories about big bang and evolution  no  and we can also reject the observations of the ondcp about cannabis on similar grounds when all things are considered in a clear systematic theology  one must   test the evidences   that come from outside scripture  scripture  tradition  and reason imply that all things are good  and that substance  such as foods and drinks  only becomes toxic in it s misuse  that is  in the uses that are not in order with the purposes god created them     the scripture s warnings against these philosophies are traditionally viewed as warnings about the gnostics of the second century  it was a blending of jewish  greek  or eastern philosophy with christianity  these gnostic errors are widespread  they appear century after century  and shows itself in many forms of religion  not merely in distorted forms of christianity  in life application today  we can see that same gnostic germ resurface in our society in the influence of modernism and postmodernism  the war against cannabis is a frightening illustration  in that it is successful in stifling evangelism within the local church  and not many leaders recognize what s going on  despite the fact that it devastates the lives of millions in perdition  this ascetic teaching is unnatural  contrary to the constitution of the world as that has been arranged by a holy and wise creator  and it is also subversive of christian liberty  nothing can be esteemed common or unclean without throwing a reproach upon the creator     to further discover the long term consequences of these unnatural teachings  we can observe the characterizations and acts employed in the war on pot have a resemblance to the warnings in scripture regarding the signs of false teachers  which are directly linked to signs of the coming rapture of christ s church   the war on cannabis shares at least  key qualities as the gnostics  in the presence of the negative implications of statements such as   there is no way to teach this to you in a brief     and    everything is toxic  there is no harmless substances      the christian should be reminded that encouraging formalism and asceticism as the result of false teaching is traditionally known as the activities of demons     and the acknowledgment of liberty of conscience in a free moral agent is the formation of evangelical theology for this very reason the reformers left the roman catholic church      the binge drinking phenomena we see in the just say no generation  as well as the licentious rebellion in the  s  is evidences of the   fleshly indulgence    or antinomian development that results from these ascetic teachings      to summarize  the christian world view and the ondcp world view can be sharply contrasted  in the ondcp world view  the truth is   everything is toxic   and application is   just say no    in the christian world view  the truth is   god s creation is good   and application is   be ye sober    the scripture provides us a sharper  more accurate understanding and response to the subjects of cannabis use in society than the secular drug use prevention community  and as biblical passages are weighed and discovered as this more accurate truth  it should bear witness that the gospel message of jesus christ is truth  we should lend thought to this greater spiritual truth for which the bible is compiled as evidence of  that christ made atonement covering and salvation for our souls    for god sent not his son into the world to condemn the world  but that he world through him might be saved  god publicly displayed him as the mercy seat accessible through faith  all have sinned and come short of the glory of god  but by grace are you saved through faith  and it s not of yourselves  it is a gift from god  for whosoever believes in him will not perish  if you confess with your mouth that jesus christ is lord  and believe in your heart that god raised him from the dead  you will be saved       ',1
'   start with impeaching this dumb ass usurper    ',1
'     a lot of people like when oil and gas prices fall  but that s a negative for the economy  so you have to be careful what you wish for    said schrader                                              maybe not   the thirty dollars i save when filling up can be used to buy a toaster or a shirt or something that is made in america instread of sending it to our enemies in the middle east     ',1
'   aka  rondo hit  outside shots late  agreed     ',1
'   who ever the fuck is going around saying i suck dick better run for their life  imma set my dog on their ass     ',1
'   you re an idiot     ',0
'    christopher m show off     ',1
'     i have no problem at all throwing my good friend crowley under the bus for this post because that fucker  i say that with love  has a whole act in his comedy routine detailing one of our ucintimate moments ud punkass  you had this coming  crowley    ahahahahahahahaha  that s what he gets for throwing an   omgoodness  boobs    fit  in la      ',1
'    i was just goin to say that i love brenda s got a baby and i just don t give a fuck     ',1
'   these are mostly facts  something you just don t want to admit   thanks for reminding us of what they are   i m sure we can think of a few more   you know these are the truths but write it enough and you are disproving your point     ',1
'   oh  you are such an idiot     you just confirmed that you can t read   dumb rse     ',0
'   not right at all      schools have to make cuts but they can afford to pay a gay ass lunch police to look at are children s lunches screwed up way to screwed up                      ',1
'   isalill are you fucking norwegian cow face  fuck norway bitch  moo moo     ',0
'   not merely untrue  but unreadable   as for the truth  case in point    the only place on earth where people cultivate fields stolen from living refugees is  israel     there are still living survivors of the german population that used to live in poland  the czech republic and russia before they were kicked out at the end of wwii   someone is cultivating their fields  but it isn t them     ',1
'   hell yea thats whats up got him a pabst he good to go brothers broke him in good    ',1
'   what an excellent email   i totally agree with what she wrote     ',1
'   no dear vidkun quisling  he will probably be a black baptist preacher   and we live in a very nice neighborhood  all our life     ',1
'   thunder down after the spurs sweep     ',1
'   love this outfit   is this a new plaited shopper        i looooove it   i have one in black  but this is gorge     ',1
'   bei jedem b rger holen banken vor einer kreditvergabe eine schufaauskunft ein  vielleicht h tten die banken so etwas  hnliches auch mal machen sollen  bevor sie griechenland einen milliardenkredit nach den anderen hinterher geworfen haben  es konnte ja garnicht genug sein  jeder volltrottel  der einmal in griechenland war  h tte denen sagen k nnen  dass die diese summen mit ihrer albernen kleinwirtschaft nie und nimmer zur ckzahlen k nnen  und es kommt wie es kommen mu te  die griechen k nnen es nicht zur ckzahlen und wir  wie auch andere europ er  m ssen mit erarbeiteten steuergeldern einspringen um die banken zu retten  nicht grichenland      hallo  geht s noch   wer kredite an kunden vergibt  die es nicht zur ckzahlen k nnen handelt auf eigenes risiko  also pech gehabt  ergo  banken direkt finanzieren  dass sie sich jetzt bei uns  dem staat  dem b rger  verschulden und endlich kontrollierbar werden  also verstaatlichen  schmei t endlich diese nichtsnutzige  nimmersatte zockermischpoke da raus  und macht spekulanten arbeitslos  es gibt  dinge auf der welt mit denen man eigentlich nicht spielt  das eine ist essen und das andere ist geld  es sind immer und immer wieder die selben  die die welt finanziell in den abgrund treiben  b nker und spekulanten    ',1
'   obama wont be elected because he says the   private sector is fine   and government can cure any problems  then the clown actually thinks we are going to believe that  accept that you are backing a looser dumb  ss democrats     ',1
'   you mean the guy who didnt go to college and is worth millions  that guy  how much do you make a month while collecting welfare  foodstamps  unemployment  disability  section  housing  heating assistance  medicaid and free child care     ',1
'   stretch her ass open mah nigguh spit in her asshole and put ya dick deep in it give her an anal infection bruh       ',0
'   stfu you cunt  not everyone wants to receive iws cock in their bum hole like you do     ',0
'   ok  who scored  who died today     ',1
'   wrong place wrong time and a black man saved him so shut the fuck up    ',1
'   lol lol miami heat win    now the nba is in our side   lol yeahhhhhh    ',1
'    shiki  sammythunderer  the beard knows  daniel hawaii ibaka was a monster game five of that series  one of reasons i totally didn t understand why people here wanted to get rid of him     ',1
'   you get a like based only on the last part of the comment     ',1
'   http   www youtube com watch v rlxnvkoadyfeaturerelated    ',1
'   christonastickjust  nowthere is no free speech here  who prevented you from   posting this     ',1
'   agreed  neocons are the progressives of the right     ',1
'   good question  why bother taking out the garbage if your going to blow the house up in the first place     ',1
'   you are all a bunch of wankers for not going  i d give my left nut to go to this show  don t tell me it costs too much or some other show is on the night before or  worst of all  it s not interesting enough  if you re not going to one of these shows you re not into metal and you re a gay piece of shit  fuck you death to all tour  please come to australia       ',0
'   you are far too generous in your comment about the odious hamish meldrum     ',1
'   wfhasdlgasegfeawohdshflawefsdhf  sfoawehgasdholy fuck  dpiahsgpa  i can t even    u the return of the superior    forever    ',1
'   i m sure she looks better than the sloppy out of shape bitch you call your girl     ',0
'   it s the marketing change  not omm  do looking for a reason to blame some christian group so they can keep living in a boogey man fantasy world gcb and playboy club were cancelled because the shows fucking sucked  i gave both a try and both were absolutely terrible  modern family has a prominent gay couple and it does just fine on tv  and then there s glee  where s the mysterious power of omm regarding those two ceos get fired for one reason only  ever  period  money  not making stockholders happy  you re fired c mon  do  y all can do better than this shit     ',1
'   you better pack a lunch    maybe two of them   u think israel doesnt have nukes  they have been working   not throwing rock and brainwashing their young people to blow themselves up      ',1
'   oh come on man  do you ever step off your high horse  if i were to take one guess at what is making her   go through stuff   it would be meth ohhhh meth       ',1
'   because you troll to much     ',1
'   oh my just goes to show how young you are  yes i remember her and all her fancy hair colours  as a tiny girl my daughter loved her     ',1
'   fuck you     you only want to suck phillip s dick       ',0
'   you know  i have read your comments on here and can clearly tell that you are a sympathizer for those who kill children  women and others who can t defend themselves   piss on bin laden  piss on mohammed merah and piss  on you and your progeny you sob     ',1
'   you re antiwhite because you hate yourself  you re unhappy  and you take it out on our entire race  pathetic you say you are antiracist  what you are is antiwhite  antiracist is a codeword for antiwhite the genocide of an entire race is tolerated  but the genocide of jungle savages is guarded with impunity  you sick  sick   antiracists   are a death cult  antiracist is a code word for antiwhite     ',1
'   most americians do not know grammer  i always see them writing your instead of you are or you re     ',1
'   we know that   i m say the evil zionist think what happend in houla is more evil  then what they usaly do to palasinian children     ',1
'   you re dumb     ',0
'   dr  tuteur  thank you for your response  what is the name of the study you are referring to  and which medical journal can i find it also  the  that you repeatedly mention  can you tell me the number of women in the sample  thank you     ',1
'   tax man      yes it is dopey    ',1
'   ah     i do not   hate  anyone     in fact one of my neighbors are muslin   sweet elderly couple    xxoo canada   aka   heaven on earth    ',1
'   you are as naive as a teenage girl     ',1
'    we r all husseins thing just goes off all the time anyway  it s all good     ',1
'   you must have a very hot temper  i see you are losing your temper because you can t stand the truth     ',1
'    notborneverymin  is that the number of personalities you have     ',1
'   the gop didn t unconstitutionally overreach with the contraceptives  the gop didn t   roll that back   to a less offensive theft of liberty by unconstitutionally declaring what a private insurance company must do  how much it should charge  etc    the gop didn t pull planned parenthood funding and they didn t have anything to do with gay marriage legislation in looney land    all examples of out of control liberalism going out of their way to decimate our constitution the gop didn t seek any of this out    these are convenient ways for the most corrupt  ignorant and tyrannical administration in the history of this country to try to change the topic from a complete failure of leadership in every single facet of government juan  you ve really gone over the deep end  buddy     ',1
'   holy shit  i want to do this  but i fear that it would prevent me from y know  getting a job     ',1
'   your a moron  go snuggle yourself in potted meat     ',0
'   holy shit  you re right     ',1
'   yours is jacked    ',1
'   how fucking dope    ',1
'   don t try thinking for your betters  idiot   you have more than enough trouble thinking for yourself     ',0
'   by your reply  you did not learn much in the navy  he is our commanderinchief  my brothers served in vietnam  my bio dad and adopted dad in wwii  they came from all sides of the political spectrum and they respected the president  did they agree with him always  no  but they respected the office  we hear all the time that the vet fought for our freedom  part of the freedom is to elect our president and other officials  aparently you didn t learn about that in the navy  at least this president is trying to get benefits for our vets  something the republican party is all for cutting  so they can buy the next obsolete toy for the dod     ',1
'   because the are pri  cks like you     ',0
'   peados   whores  men who batter women   and now stalkers who also indulge in a bit of child porn    what happend to vetting contestants       will it have live oap sex next week as that is all its missed so far    ',1
'   don t know    but it did have sandy burger s sock on it   lol    ',1
'   ium  we realized you are a muslim from seeing your other comments  like a good muslim  you see   so much negativity   in anything and anyone who does not subscribe to your   higher purpose in life   the purpose to do good works and have faith    what a load of crap  and like a good muslim you of course       ponder how i can make people understand    i m surprised at you  you know very well how to make people understand  it s simple  stone them  murder them  blow them up  maim them  rape them  burn them  you muslims are expert at this  have a look at cnn  it s all over their website     ',1
'   thanks  i thought it was funny    sorry  i missed your funnies   i ll try scrolling down to find them    ',1
'   http   search incredibar com  qyou are an idiotamp langenglishamp cidamp sourceamp ulocmb amp uamp apqxhiwncamp acr    ',1
'   shut it mcleish    you cant ban him   how would rvp fc be able to play any games with their only player banned      ',1
'   plz dj jepi sms  ne tv ok  njesh    ',1
'   i missed the day when elected you to speak for      of us   carry on then     ',1
'   please score one more time and then be done with it  nj  carter doesn t deserve to have that gwg by his name     ',1
'   sarko s dream was not realized yet total had the   promise but the americans didn t like it  so it didn t happen     ',1
'   i expect a little star wars charater from you for my bday  p    ',1
'   i have a fucked up brain  this song just popped into my head  http   www youtube com watch vcjt zqftwk    ',1
'   they want big business to be successful only until they have to pay for that success     ',1
'   and then they were like      oh shit  how the hell are we getting down from here       ',1
'   that s true  the red army did rape millions of women and girls   not only in germany but in eastern europe as well  although it was stopped eventually  that can never be forgotten  our interracial rape problem is not being stopped   it just continues to get worse  since the civil rights movement  blacks have raped about several times more people than the red army did in wwii  not much is being done to stop it  as it keeps getting worse     ',1
'   you are intentionally ignorant dragon     ',0
'   i fault the fact that there are  qualifier tournaments for a tournament of legends  effectively making it any other tournament  and not at all a tournament of legends     ',1
'   then get off the internet moron   it s a choice  still     ',0
'   first of all idiot if someone whipped my     they wouldn t be alive today nore will i go on a reality show and talk about it   if memphiz did k michelle so wrong than why is she still talking about it   if someone hurt me i wouldn t even mention their name because that s how upset ill be with them     judging by your repost to my comment i take it that you re a bitter exgirlfriend who probably got your head popped off by your exboyfriend    stupid moron h ting on toya s and memphiz like that    go join k michelle on the jealous train    tutu        ',0
'    alley a pussy   florida nigga dnt fuck wit you woe      ',0
'   thats whats happens when people dont care for the kid for nothing more than a free check     ',1
'   keep talking shit anonymously  coward  it s what you re good at     ',0
'   fuck this show     ',1
'   you are a mental midget you can t be  a traitor if you aren t a citizen     ',0
'   flushres  thanks caveman  i appreciate your neanderthal mentality  you are welcome and good night       ',0
'   define the war on women please   you mean requiring me to pay for your birth control   that s about it   you are dead on with the talking points     ',1
'   sadly its not just nj  the whole visa system is rotten from head to toe  and hopelessly broken  there just arent enough people out there to investigate all the complaints and abuses that are so prevalent in the visa system  and so it has become a place of widespread fraud  abuse  dehumanization and exploitation  sadder still is that companies dont realize that when they hire visa holders that they are helping to contribute to the problem  nj just so happens to have stumbled across the tip of the iceberg     ',1
'   tell the veterans who did serve and prefer romney to   go fuck themselves    why don t you  oh wait  leftists  have been doing that for  years already     ',0
'   but that s the problem  franklin   they don t have even an ounce of intelligence   you always find as you get older that the more people talk about their intellect  the less they really have liberals like to talk  about their intellectual superiority  but its just more garbage     because it is obvious that they are only intellectually superior to common ground slugs and like the cockroaches they are         ',1
'   that sounds like racism  he does not look like a monkey     ',1
'   you are a lying son of a bitch   let s see you post some facts supporting your assertion       ',0
'   sooooo cool  i want everything     ',1
'   lol wow  so in your mind everyone whos racist is a murderer   so you re a murderer too  idiot       ',0
'   bigger than the chicago tribune and the boston globe   are you high       i ve never even seen the daily caller  but i ve bought the tribune and read the globe   what else you got   and by the way  your blog isn t legitimate   it s a fucking blog   a website   i don t think that truly qualifies  no offense raw   but even you guys don t really count and you know it   if they don t want to give them a press pass there really isn t much that they can do to force the white house s hand   if they give them a pass it s because they don t feel threatened and want him to keep up the bullshit to show the country just what these people s true colors are   obama and pals are not playing the race card and never have  no matter how many times the right wing assholes keep repeating that bullshit   but these people keep painting themselves into a corner of backwardsassed white power racist uncivilized and uninspiring troglodytes     ',0
'   what a piece of crap you know he will screw wawa or anybody else to make a nickle    ',1
'   no shane dies dammit u have  admit it shane wuz d life of d show btw darly and d sheriff they kept dis show interesting but witout dem  dis show wouldn t last  long becuz lori a slut and always starting shit wit her houes wife ass  we got a bitch who always cing killing herself a option and wants  b a guy and carl is just fucking stupid he came from we want  c him survive d gunshot dat almost killed him  y dis little bastard start acting weird and bing annoying and shit    ',1
'   well i hope so   i have to say your in rare form tonight jc  i cant imagine going on dodger site and trashing kemp or kershaw and expecting fans to not light me up  you should know better     ',1
'   awesome game   even if grouped or not raids happen event happen automatically by being in the area  the fact that anyone spells benefits will work with yours   any elementalist can put down a wall of fire even one not in your group and you shoot you arrows through that fire  you get the benefit of flaming arrows is so cool   well done       ',1
